    NODE       UY    
       1   0.0000     
       2 -0.33829E-003
       3 -0.66261E-003
       4 -0.96696E-003
       5 -0.12414E-002
       6 -0.14757E-002
       7 -0.16600E-002
       8 -0.17847E-002
       9 -0.18401E-002
      10 -0.17847E-002
      11 -0.16600E-002
      12 -0.14757E-002
      13 -0.12414E-002
      14 -0.96699E-003
      15 -0.66260E-003
      16 -0.33833E-003
      17   0.0000     
      18 -0.48774E-005
      19 -0.33815E-003
      20 -0.66261E-003
      21 -0.96696E-003
      22 -0.12414E-002
      23 -0.14757E-002
      24 -0.16601E-002
      25 -0.17845E-002
      26 -0.18398E-002
      27 -0.17845E-002
      28 -0.16601E-002
      29 -0.14757E-002
      30 -0.12414E-002
      31 -0.96699E-003
      32 -0.66260E-003
      33 -0.33819E-003
      34 -0.48931E-005
      35  0.49788E-007
      36 -0.33521E-003
      37 -0.65994E-003
      38 -0.96436E-003
      39 -0.12388E-002
      40 -0.14731E-002
      41 -0.16573E-002
      42 -0.17812E-002
      43 -0.18432E-002
      44 -0.17813E-002
      45 -0.16573E-002
      46 -0.14731E-002
      47 -0.12388E-002
      48 -0.96441E-003
      49 -0.65996E-003
      50 -0.33528E-003
      51  0.41193E-007
      52   0.0000     
      53 -0.33532E-003
      54 -0.65995E-003
      55 -0.96433E-003
      56 -0.12388E-002
      57 -0.14731E-002
      58 -0.16573E-002
      59 -0.17815E-002
      60 -0.18339E-002
      61 -0.17815E-002
      62 -0.16573E-002
      63 -0.14731E-002
      64 -0.12388E-002
      65 -0.96437E-003
      66 -0.65997E-003
      67 -0.33539E-003
      68   0.0000     
