    NODE       UY    
       1   0.0000     
       2 -0.34164E-003
       3 -0.66899E-003
       4 -0.97624E-003
       5 -0.12533E-002
       6 -0.14898E-002
       7 -0.16760E-002
       8 -0.18018E-002
       9 -0.18583E-002
      10 -0.18018E-002
      11 -0.16760E-002
      12 -0.14899E-002
      13 -0.12533E-002
      14 -0.97627E-003
      15 -0.66899E-003
      16 -0.34167E-003
      17   0.0000     
      18 -0.49500E-005
      19 -0.34151E-003
      20 -0.66899E-003
      21 -0.97626E-003
      22 -0.12533E-002
      23 -0.14899E-002
      24 -0.16760E-002
      25 -0.18016E-002
      26 -0.18577E-002
      27 -0.18016E-002
      28 -0.16760E-002
      29 -0.14899E-002
      30 -0.12533E-002
      31 -0.97629E-003
      32 -0.66898E-003
      33 -0.34155E-003
      34 -0.49644E-005
      35  0.98807E-007
      36 -0.33848E-003
      37 -0.66628E-003
      38 -0.97359E-003
      39 -0.12506E-002
      40 -0.14872E-002
      41 -0.16732E-002
      42 -0.17982E-002
      43 -0.18614E-002
      44 -0.17983E-002
      45 -0.16732E-002
      46 -0.14872E-002
      47 -0.12506E-002
      48 -0.97363E-003
      49 -0.66629E-003
      50 -0.33855E-003
      51  0.91231E-007
      52   0.0000     
      53 -0.33861E-003
      54 -0.66628E-003
      55 -0.97357E-003
      56 -0.12506E-002
      57 -0.14872E-002
      58 -0.16732E-002
      59 -0.17985E-002
      60 -0.18518E-002
      61 -0.17985E-002
      62 -0.16732E-002
      63 -0.14872E-002
      64 -0.12506E-002
      65 -0.97361E-003
      66 -0.66630E-003
      67 -0.33867E-003
      68   0.0000     
